NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Year,Country,Product ID,Category,Sub-Category,Product Name,Segment,Sales,Profit
,,,,,,,,
,,,,,,,,
2019,El Salvador,OFF-ST-4285,Office Supplies,Storage,"Fellowes Shelving, Wire Frame",Consumer,"$417,340.00 ",208560
2019,United States,OFF-ST-5789,Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",Corporate,"$85,520.00 ",22240
2019,Togo,OFF-PA-6515,Office Supplies,Paper,Xerox 1959,Corporate,"$20,040.00 ",9620
2019,Indonesia,OFF-AR-5290,Office Supplies,Art,Newell 313,Corporate,"$9,840.00 ",2660
2019,India,OFF-BI-2918,Office Supplies,Binders,"Acco Index Tab, Durable",Corporate,"$71,520.00 ",15600
2019,China,OFF-AP-4745,Office Supplies,Appliances,"Hoover Stove, White",Corporate,"$2,821,720.00 ",339880
2019,Honduras,OFF-ST-5702,Office Supplies,Storage,"Rogers Lockers, Single Width",Corporate,"$1,229,690.00 ",399980
2019,Mexico,TEC-PH-5351,Technology,Phones,"Nokia Signal Booster, Full Size",Consumer,"$413,370.00 ",115740
2019,Mexico,TEC-PH-5351,Technology,Phones,"Nokia Signal Booster, Full Size",Consumer,"$413,370.00 ",115740
2019,France,FUR-CH-4558,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Black",Corporate,"$627,170.00 ",-51610
2019,Tanzania,TEC-MA-4198,Technology,Machines,"Epson Inkjet, White",Consumer,"$916,110.00 ",36630
2019,Spain,TEC-AC-4185,Technology,Accessories,"Enermax Router, Bluetooth",Corporate,"$273,830.00 ",-77530
2019,Turkmenistan,FUR-TA-3759,Furniture,Tables,"Chromcraft Computer Table, Adjustable Height",Corporate,"$178,250.00 ",-154510
2019,Turkmenistan,FUR-TA-3759,Furniture,Tables,"Chromcraft Computer Table, Adjustable Height",Corporate,"$178,250.00 ",-154510
2019,Colombia,TEC-CO-4588,Technology,Copiers,"Hewlett Personal Copier, High-Speed",Corporate,"$264,990.00 ",-17130
2019,Ukraine,TEC-AC-5897,Technology,Accessories,"SanDisk Router, USB",Corporate,"$102,620.00 ",-30800
2019,Turkmenistan,FUR-TA-3759,Furniture,Tables,"Chromcraft Computer Table, Adjustable Height",Corporate,"$178,250.00 ",-154510
2019,Australia,OFF-AR-3467,Office Supplies,Art,"BIC Pens, Water Color",Consumer,"$46,560.00 ",9760
2019,Egypt,OFF-BI-2913,Office Supplies,Binders,"Acco Hole Reinforcements, Durable",Consumer,"$27,200.00 ",8700
2019,Yemen,OFF-FA-5481,Office Supplies,Fasteners,"OIC Staples, Assorted Sizes",Corporate,"$26,370.00 ",9990
2019,Zambia,OFF-LA-4537,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, 5000 Label Set",Corporate,"$13,610.00 ",-6610
2019,Saudi Arabia,OFF-AR-3493,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Fluorescent",Consumer,"$26,670.00 ",11460
2019,United Kingdom,OFF-FA-6206,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Assorted Sizes",Corporate,"$17,460.00 ",-9270
2019,Zimbabwe,TEC-AC-5194,Technology,Accessories,"Memorex Flash Drive, Erganomic",Home Office,"$244,890.00 ",65880
2019,Brazil,TEC-CO-3600,Technology,Copiers,"Brother Ink, Digital",Corporate,"$293,880.00 ",73440
2019,Algeria,OFF-LA-4663,Office Supplies,Labels,"Hon Legal Exhibit Labels, Adjustable",Corporate,"$61,320.00 ",9660
2019,Sweden,TEC-MA-3783,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,Corporate,"$1,188,000.00 ",-950400
2019,Netherlands,FUR-BO-5519,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Corporate,"$452,450.00 ",-244320
2019,Italy,TEC-PH-6091,Technology,Phones,Speck Products Candyshell Flip Case,Corporate,"$62,980.00 ",-14700
2019,Cameroon,TEC-AC-6076,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Corporate,"$89,580.00 ",4480
2019,South Africa,OFF-LA-3226,Office Supplies,Labels,Avery 505,Corporate,"$23,680.00 ",8880
2019,Netherlands,FUR-BO-5519,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Corporate,"$452,450.00 ",-244320
2019,Turkey,TEC-MA-5010,Technology,Machines,"Konica Phone, Durable",Consumer,"$155,360.00 ",-145060
2019,Cote d'Ivoire,OFF-ST-6047,Office Supplies,Storage,"Smead Lockers, Industrial",Consumer,"$358,020.00 ",71580
2019,Nigeria,OFF-PA-4467,Office Supplies,Paper,"Green Bar Computer Printout Paper, Multicolor",Consumer,"$93,510.00 ",21420
2019,Norway,OFF-ST-4063,Office Supplies,Storage,"Eldon Folders, Wire Frame",Consumer,"$53,500.00 ",20300
2019,Japan,OFF-ST-6248,Office Supplies,Storage,"Tenex File Cart, Single Width",Corporate,"$134,160.00 ",12060
2019,Dominican Republic,FUR-FU-3037,Furniture,Furnishings,"Advantus Light Bulb, Duo Pack",Consumer,"$54,350.00 ",-10
2019,Germany,OFF-EN-3107,Office Supplies,Envelopes,"Ames Manila Envelope, with clear poly window",Corporate,"$28,230.00 ",12120
2019,Iraq,OFF-ST-4264,Office Supplies,Storage,"Fellowes Folders, Wire Frame",Corporate,"$25,470.00 ",6600
2019,New Zealand,OFF-EN-3655,Office Supplies,Envelopes,"Cameo Business Envelopes, Security-Tint",Consumer,"$15,260.00 ",-350
2019,Romania,FUR-BO-5529,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,Consumer,"$1,352,400.00 ",-437540
2019,Philippines,TEC-AC-4140,Technology,Accessories,Enermax Acrylux Wireless Keyboard,Consumer,"$398,400.00 ",84660
2019,Iran,OFF-AR-5294,Office Supplies,Art,Newell 317,Consumer,"$7,060.00 ",790
2019,Cambodia,OFF-ST-4266,Office Supplies,Storage,"Fellowes Lockers, Blue",Consumer,"$207,330.00 ",53880
2019,Peru,FUR-FU-4083,Furniture,Furnishings,"Eldon Photo Frame, Black",Home Office,"$116,220.00 ",40620
2019,Argentina,OFF-EN-4919,Office Supplies,Envelopes,"Jiffy Manila Envelope, Security-Tint",Consumer,"$170,460.00 ",83520
2019,Austria,OFF-AR-3533,Office Supplies,Art,"Boston Highlighters, Fluorescent",Corporate,"$44,080.00 ",-9740
2019,Sudan,OFF-BI-3189,Office Supplies,Binders,"Avery 3-Hole Punch, Recycled",Consumer,"$16,940.00 ",-39520
2019,Cuba,FUR-CH-5409,Furniture,Chairs,"Novimex Steel Folding Chair, Set of Two",Consumer,"$25,340.00 ",-54940
2019,Mozambique,OFF-AR-5925,Office Supplies,Art,"Sanford Pens, Easy-Erase",Consumer,"$6,820.00 ",-10700
2019,Malaysia,OFF-PA-6572,Office Supplies,Paper,Xerox 21,Corporate,"$10,370.00 ",3630
2019,Russia,FUR-FU-6236,Furniture,Furnishings,"Tenex Clock, Black",Corporate,"$50,250.00 ",12540
2019,Morocco,FUR-FU-3953,Furniture,Furnishings,"Deflect-O Photo Frame, Erganomic",Home Office,"$80,830.00 ",12110
2019,Democratic Republic of the Congo,FUR-CH-4559,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Red",Home Office,"$39,160.00 ",-22840
